time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-13 00:00:00+00:00,62,38,14,5
2025-09-14 00:00:00+00:00,102,26,27,8
2025-09-15 00:00:00+00:00,129,62,57,28
2025-09-16 00:00:00+00:00,146,62,73,22
2025-09-17 00:00:00+00:00,206,127,69,27
2025-09-18 00:00:00+00:00,179,78,65,15
2025-09-19 00:00:00+00:00,134,62,66,22
2025-09-20 00:00:00+00:00,90,44,18,6
2025-09-21 00:00:00+00:00,126,30,50,6
2025-09-22 00:00:00+00:00,201,75,89,20
2025-09-23 00:00:00+00:00,161,51,107,32
2025-09-24 00:00:00+00:00,138,75,65,26
2025-09-25 00:00:00+00:00,143,56,105,26
2025-09-26 00:00:00+00:00,166,76,58,24
2025-09-27 00:00:00+00:00,117,53,37,7
2025-09-28 00:00:00+00:00,109,30,20,8
2025-09-29 00:00:00+00:00,115,53,102,23
2025-09-30 00:00:00+00:00,121,58,88,23
2025-10-01 00:00:00+00:00,113,56,70,23
2025-10-02 00:00:00+00:00,139,50,52,23
2025-10-03 00:00:00+00:00,150,57,58,21
2025-10-04 00:00:00+00:00,64,28,16,10
2025-10-05 00:00:00+00:00,122,32,24,8
2025-10-06 00:00:00+00:00,132,53,51,21
2025-10-07 00:00:00+00:00,188,65,55,24
2025-10-08 00:00:00+00:00,183,60,82,27
2025-10-09 00:00:00+00:00,201,70,87,27
2025-10-10 00:00:00+00:00,257,87,44,16
2025-10-11 00:00:00+00:00,86,32,87,14
2025-10-12 00:00:00+00:00,128,27,20,10
2025-10-13 00:00:00+00:00,130,57,77,36
2025-10-14 00:00:00+00:00,139,50,55,20
2025-10-15 00:00:00+00:00,232,104,107,25
2025-10-16 00:00:00+00:00,145,69,96,30
2025-10-17 00:00:00+00:00,184,72,102,28
2025-10-18 00:00:00+00:00,82,33,10,7
2025-10-19 00:00:00+00:00,133,32,18,7
2025-10-20 00:00:00+00:00,163,65,90,29
2025-10-21 00:00:00+00:00,193,69,110,29
2025-10-22 00:00:00+00:00,254,92,88,28
2025-10-23 00:00:00+00:00,213,82,53,29
2025-10-24 00:00:00+00:00,201,75,55,23
2025-10-25 00:00:00+00:00,110,42,10,7
2025-10-26 00:00:00+00:00,127,33,12,11
2025-10-27 00:00:00+00:00,192,76,157,36
2025-10-28 00:00:00+00:00,203,72,38,18
2025-10-29 00:00:00+00:00,234,75,56,22
2025-10-30 00:00:00+00:00,269,83,43,24
2025-10-31 00:00:00+00:00,218,74,45,23
2025-11-01 00:00:00+00:00,96,44,21,7
2025-11-02 00:00:00+00:00,140,30,25,14
2025-11-03 00:00:00+00:00,216,75,62,27
2025-11-04 00:00:00+00:00,234,84,42,20
2025-11-05 00:00:00+00:00,226,80,56,27
2025-11-06 00:00:00+00:00,275,100,38,18
2025-11-07 00:00:00+00:00,168,63,38,17
2025-11-08 00:00:00+00:00,67,30,16,8
2025-11-09 00:00:00+00:00,122,34,19,10
2025-11-10 00:00:00+00:00,246,81,59,25
2025-11-11 00:00:00+00:00,154,49,41,15
2025-11-12 00:00:00+00:00,233,52,87,22
2025-11-13 00:00:00+00:00,236,71,65,26
2025-11-14 00:00:00+00:00,219,66,34,17
2025-11-15 00:00:00+00:00,184,52,4,4
2025-11-16 00:00:00+00:00,171,37,1,1
2025-11-17 00:00:00+00:00,241,63,42,23
2025-11-18 00:00:00+00:00,267,92,74,20
2025-11-19 00:00:00+00:00,270,78,21,15
2025-11-20 00:00:00+00:00,343,82,39,13
2025-11-21 00:00:00+00:00,267,63,65,19
2025-11-22 00:00:00+00:00,140,39,8,5
2025-11-23 00:00:00+00:00,142,35,11,9
2025-11-24 00:00:00+00:00,230,57,63,25
2025-11-25 00:00:00+00:00,174,56,50,28
2025-11-26 00:00:00+00:00,202,80,31,21
2025-11-27 00:00:00+00:00,207,73,50,20
2025-11-28 00:00:00+00:00,274,162,38,14
2025-11-29 00:00:00+00:00,306,230,14,7
2025-11-30 00:00:00+00:00,156,52,49,7
2025-12-01 00:00:00+00:00,273,67,52,22
2025-12-02 00:00:00+00:00,383,74,83,21
2025-12-03 00:00:00+00:00,252,92,28,18
2025-12-04 00:00:00+00:00,231,68,74,28
2025-12-05 00:00:00+00:00,372,209,76,21
2025-12-06 00:00:00+00:00,146,85,5,5
